,matrix training
0,"[[ 0  9]
 [ 0 21]]"
1,"[[ 0  9]
 [ 0 21]]"
2,"[[ 0  9]
 [ 0 21]]"
3,"[[ 0  9]
 [ 0 21]]"
4,"[[ 0  9]
 [ 0 21]]"
5,"[[ 0  9]
 [ 0 21]]"
6,"[[ 0  9]
 [ 0 21]]"
7,"[[ 0  9]
 [ 0 21]]"
8,"[[ 0  9]
 [ 0 21]]"
9,"[[ 0  9]
 [ 0 21]]"
10,"[[ 0  9]
 [ 0 21]]"
11,"[[ 0  9]
 [ 0 21]]"
12,"[[ 0  9]
 [ 0 21]]"
13,"[[ 0  9]
 [ 0 21]]"
14,"[[ 0  9]
 [ 0 21]]"
15,"[[ 0  9]
 [ 0 21]]"
16,"[[ 0  9]
 [ 0 21]]"
17,"[[ 0  9]
 [ 0 21]]"
18,"[[ 0  9]
 [ 0 21]]"
19,"[[ 0  9]
 [ 0 21]]"
20,"[[ 0  9]
 [ 0 21]]"
21,"[[ 0  9]
 [ 0 21]]"
22,"[[ 0  9]
 [ 0 21]]"
23,"[[ 0  9]
 [ 0 21]]"
24,"[[ 0  9]
 [ 0 21]]"
25,"[[ 0  9]
 [ 0 21]]"
26,"[[ 0  9]
 [ 0 21]]"
27,"[[ 0  9]
 [ 0 21]]"
28,"[[ 0  9]
 [ 0 21]]"
29,"[[ 0  9]
 [ 0 21]]"
30,"[[ 0 13]
 [ 0 27]]"
31,"[[ 0 13]
 [ 0 27]]"
32,"[[ 0 13]
 [ 0 27]]"
33,"[[ 0 13]
 [ 0 27]]"
34,"[[ 0 13]
 [ 0 27]]"
35,"[[ 0 13]
 [ 0 27]]"
36,"[[ 0 13]
 [ 0 27]]"
37,"[[ 0 13]
 [ 0 27]]"
38,"[[ 0 13]
 [ 0 27]]"
39,"[[ 0 13]
 [ 0 27]]"
40,"[[ 0 13]
 [ 0 27]]"
41,"[[ 0 13]
 [ 0 27]]"
42,"[[ 0 13]
 [ 0 27]]"
43,"[[ 0 13]
 [ 0 27]]"
44,"[[ 0 13]
 [ 0 27]]"
45,"[[ 0 13]
 [ 0 27]]"
46,"[[ 0 13]
 [ 0 27]]"
47,"[[ 0 13]
 [ 0 27]]"
48,"[[ 0 13]
 [ 0 27]]"
49,"[[ 0 13]
 [ 0 27]]"
50,"[[ 0 13]
 [ 0 27]]"
51,"[[ 0 13]
 [ 0 27]]"
52,"[[ 0 13]
 [ 0 27]]"
53,"[[ 0 13]
 [ 0 27]]"
54,"[[ 0 13]
 [ 0 27]]"
55,"[[ 0 13]
 [ 0 27]]"
56,"[[ 0 13]
 [ 0 27]]"
57,"[[ 0 13]
 [ 0 27]]"
58,"[[ 0 13]
 [ 0 27]]"
59,"[[ 0 13]
 [ 0 27]]"
60,"[[ 0 16]
 [ 0 34]]"
61,"[[ 0 16]
 [ 0 34]]"
62,"[[ 0 16]
 [ 0 34]]"
63,"[[ 0 16]
 [ 0 34]]"
64,"[[ 0 16]
 [ 0 34]]"
65,"[[ 0 16]
 [ 0 34]]"
66,"[[ 0 16]
 [ 0 34]]"
67,"[[ 0 16]
 [ 0 34]]"
68,"[[ 0 16]
 [ 0 34]]"
69,"[[ 0 16]
 [ 0 34]]"
70,"[[ 0 16]
 [ 0 34]]"
71,"[[ 0 16]
 [ 0 34]]"
72,"[[ 0 16]
 [ 0 34]]"
73,"[[ 0 16]
 [ 0 34]]"
74,"[[ 0 16]
 [ 0 34]]"
75,"[[ 0 16]
 [ 0 34]]"
76,"[[ 0 16]
 [ 0 34]]"
77,"[[ 0 16]
 [ 0 34]]"
78,"[[ 0 16]
 [ 0 34]]"
79,"[[ 0 16]
 [ 0 34]]"
80,"[[ 0 16]
 [ 0 34]]"
81,"[[ 0 16]
 [ 0 34]]"
82,"[[ 0 16]
 [ 0 34]]"
83,"[[ 0 16]
 [ 0 34]]"
84,"[[ 0 16]
 [ 0 34]]"
85,"[[ 0 16]
 [ 0 34]]"
86,"[[ 0 16]
 [ 0 34]]"
87,"[[ 0 16]
 [ 0 34]]"
88,"[[ 0 16]
 [ 0 34]]"
89,"[[ 0 16]
 [ 0 34]]"
90,"[[ 0 21]
 [ 0 39]]"
91,"[[ 0 21]
 [ 0 39]]"
92,"[[ 0 21]
 [ 0 39]]"
93,"[[ 0 21]
 [ 0 39]]"
94,"[[ 0 21]
 [ 0 39]]"
95,"[[ 0 21]
 [ 0 39]]"
96,"[[ 0 21]
 [ 0 39]]"
97,"[[ 0 21]
 [ 0 39]]"
98,"[[ 0 21]
 [ 0 39]]"
99,"[[ 0 21]
 [ 0 39]]"
100,"[[ 0 21]
 [ 0 39]]"
101,"[[ 0 21]
 [ 0 39]]"
102,"[[ 0 21]
 [ 0 39]]"
103,"[[ 0 21]
 [ 0 39]]"
104,"[[ 0 21]
 [ 0 39]]"
105,"[[ 0 21]
 [ 0 39]]"
106,"[[ 0 21]
 [ 0 39]]"
107,"[[ 0 21]
 [ 0 39]]"
108,"[[ 0 21]
 [ 0 39]]"
109,"[[ 0 21]
 [ 0 39]]"
110,"[[ 0 21]
 [ 0 39]]"
111,"[[ 0 21]
 [ 0 39]]"
112,"[[ 0 21]
 [ 0 39]]"
113,"[[ 0 21]
 [ 0 39]]"
114,"[[ 0 21]
 [ 0 39]]"
115,"[[ 0 21]
 [ 0 39]]"
116,"[[ 0 21]
 [ 0 39]]"
117,"[[ 0 21]
 [ 0 39]]"
118,"[[ 0 21]
 [ 0 39]]"
119,"[[ 0 21]
 [ 0 39]]"
120,"[[ 0 27]
 [ 0 43]]"
121,"[[ 0 27]
 [ 0 43]]"
122,"[[ 0 27]
 [ 0 43]]"
123,"[[ 0 27]
 [ 0 43]]"
124,"[[ 2 25]
 [ 0 43]]"
125,"[[ 0 27]
 [ 0 43]]"
126,"[[ 0 27]
 [ 0 43]]"
127,"[[ 0 27]
 [ 0 43]]"
128,"[[ 0 27]
 [ 0 43]]"
129,"[[ 0 27]
 [ 0 43]]"
130,"[[ 0 27]
 [ 0 43]]"
131,"[[ 0 27]
 [ 0 43]]"
132,"[[ 0 27]
 [ 0 43]]"
133,"[[ 0 27]
 [ 0 43]]"
134,"[[ 0 27]
 [ 0 43]]"
135,"[[ 0 27]
 [ 0 43]]"
136,"[[ 0 27]
 [ 0 43]]"
137,"[[ 3 24]
 [ 0 43]]"
138,"[[ 0 27]
 [ 0 43]]"
139,"[[ 0 27]
 [ 0 43]]"
140,"[[ 0 27]
 [ 0 43]]"
141,"[[ 0 27]
 [ 0 43]]"
142,"[[ 0 27]
 [ 0 43]]"
143,"[[ 0 27]
 [ 0 43]]"
144,"[[ 0 27]
 [ 0 43]]"
145,"[[ 0 27]
 [ 0 43]]"
146,"[[ 0 27]
 [ 0 43]]"
147,"[[ 0 27]
 [ 0 43]]"
148,"[[ 0 27]
 [ 0 43]]"
149,"[[ 0 27]
 [ 0 43]]"
150,"[[ 1 32]
 [ 0 47]]"
151,"[[ 1 32]
 [ 0 47]]"
152,"[[ 2 31]
 [ 0 47]]"
153,"[[ 0 33]
 [ 0 47]]"
154,"[[17 16]
 [ 4 43]]"
155,"[[ 2 31]
 [ 0 47]]"
156,"[[ 4 29]
 [ 0 47]]"
157,"[[ 4 29]
 [ 1 46]]"
158,"[[ 0 33]
 [ 0 47]]"
159,"[[ 0 33]
 [ 0 47]]"
160,"[[ 8 25]
 [ 0 47]]"
161,"[[ 0 33]
 [ 0 47]]"
162,"[[ 0 33]
 [ 0 47]]"
163,"[[ 0 33]
 [ 0 47]]"
164,"[[ 7 26]
 [ 0 47]]"
165,"[[ 0 33]
 [ 0 47]]"
166,"[[ 2 31]
 [ 0 47]]"
167,"[[ 2 31]
 [ 0 47]]"
168,"[[ 0 33]
 [ 0 47]]"
169,"[[ 0 33]
 [ 0 47]]"
170,"[[ 1 32]
 [ 0 47]]"
171,"[[ 0 33]
 [ 0 47]]"
172,"[[ 0 33]
 [ 0 47]]"
173,"[[ 0 33]
 [ 0 47]]"
174,"[[ 0 33]
 [ 0 47]]"
175,"[[ 0 33]
 [ 0 47]]"
176,"[[ 0 33]
 [ 0 47]]"
177,"[[ 0 33]
 [ 0 47]]"
178,"[[ 0 33]
 [ 0 47]]"
179,"[[ 0 33]
 [ 0 47]]"
180,"[[ 0 43]
 [ 0 57]]"
181,"[[ 0 43]
 [ 0 57]]"
182,"[[ 0 43]
 [ 0 57]]"
183,"[[ 0 43]
 [ 0 57]]"
184,"[[ 0 43]
 [ 0 57]]"
185,"[[ 0 43]
 [ 0 57]]"
186,"[[ 3 40]
 [ 1 56]]"
187,"[[ 7 36]
 [ 2 55]]"
188,"[[ 0 43]
 [ 0 57]]"
189,"[[ 0 43]
 [ 0 57]]"
190,"[[ 9 34]
 [ 0 57]]"
191,"[[ 0 43]
 [ 0 57]]"
192,"[[ 0 43]
 [ 0 57]]"
193,"[[ 0 43]
 [ 0 57]]"
194,"[[ 3 40]
 [ 0 57]]"
195,"[[ 0 43]
 [ 0 57]]"
196,"[[ 1 42]
 [ 0 57]]"
197,"[[ 3 40]
 [ 0 57]]"
198,"[[ 0 43]
 [ 0 57]]"
199,"[[ 0 43]
 [ 0 57]]"
200,"[[ 3 40]
 [ 0 57]]"
201,"[[ 0 43]
 [ 0 57]]"
202,"[[ 0 43]
 [ 0 57]]"
203,"[[ 0 43]
 [ 0 57]]"
204,"[[ 0 43]
 [ 0 57]]"
205,"[[ 1 42]
 [ 0 57]]"
206,"[[ 0 43]
 [ 0 57]]"
207,"[[ 0 43]
 [ 0 57]]"
208,"[[ 0 43]
 [ 0 57]]"
209,"[[ 0 43]
 [ 0 57]]"
210,"[[ 0 51]
 [ 0 69]]"
211,"[[ 0 51]
 [ 0 69]]"
212,"[[ 0 51]
 [ 0 69]]"
213,"[[ 0 51]
 [ 0 69]]"
214,"[[ 7 44]
 [ 0 69]]"
215,"[[ 0 51]
 [ 0 69]]"
216,"[[ 0 51]
 [ 0 69]]"
217,"[[ 2 49]
 [ 1 68]]"
218,"[[ 0 51]
 [ 0 69]]"
219,"[[ 0 51]
 [ 0 69]]"
220,"[[ 0 51]
 [ 0 69]]"
221,"[[ 0 51]
 [ 0 69]]"
222,"[[ 0 51]
 [ 0 69]]"
223,"[[ 0 51]
 [ 0 69]]"
224,"[[ 2 49]
 [ 0 69]]"
225,"[[ 0 51]
 [ 0 69]]"
226,"[[ 0 51]
 [ 0 69]]"
227,"[[ 0 51]
 [ 0 69]]"
228,"[[ 0 51]
 [ 0 69]]"
229,"[[ 0 51]
 [ 0 69]]"
230,"[[ 2 49]
 [ 0 69]]"
231,"[[ 0 51]
 [ 0 69]]"
232,"[[ 0 51]
 [ 0 69]]"
233,"[[ 0 51]
 [ 0 69]]"
234,"[[ 0 51]
 [ 0 69]]"
235,"[[ 0 51]
 [ 0 69]]"
236,"[[ 0 51]
 [ 0 69]]"
237,"[[ 0 51]
 [ 0 69]]"
238,"[[ 0 51]
 [ 0 69]]"
239,"[[ 0 51]
 [ 0 69]]"
240,"[[ 0 59]
 [ 0 81]]"
241,"[[ 0 59]
 [ 0 81]]"
242,"[[ 0 59]
 [ 0 81]]"
243,"[[ 0 59]
 [ 0 81]]"
244,"[[ 0 59]
 [ 0 81]]"
245,"[[ 0 59]
 [ 0 81]]"
246,"[[ 0 59]
 [ 0 81]]"
247,"[[ 0 59]
 [ 0 81]]"
248,"[[ 0 59]
 [ 0 81]]"
249,"[[ 0 59]
 [ 0 81]]"
250,"[[ 0 59]
 [ 0 81]]"
251,"[[ 0 59]
 [ 0 81]]"
252,"[[ 0 59]
 [ 0 81]]"
253,"[[ 0 59]
 [ 0 81]]"
254,"[[ 1 58]
 [ 0 81]]"
255,"[[ 0 59]
 [ 0 81]]"
256,"[[ 0 59]
 [ 0 81]]"
257,"[[ 1 58]
 [ 0 81]]"
258,"[[ 0 59]
 [ 0 81]]"
259,"[[ 0 59]
 [ 0 81]]"
260,"[[ 1 58]
 [ 0 81]]"
261,"[[ 0 59]
 [ 0 81]]"
262,"[[ 0 59]
 [ 0 81]]"
263,"[[ 0 59]
 [ 0 81]]"
264,"[[ 0 59]
 [ 0 81]]"
265,"[[ 0 59]
 [ 0 81]]"
266,"[[ 0 59]
 [ 0 81]]"
267,"[[ 0 59]
 [ 0 81]]"
268,"[[ 0 59]
 [ 0 81]]"
269,"[[ 0 59]
 [ 0 81]]"
270,"[[ 0 71]
 [ 0 89]]"
271,"[[ 0 71]
 [ 0 89]]"
272,"[[ 0 71]
 [ 0 89]]"
273,"[[ 0 71]
 [ 0 89]]"
274,"[[25 46]
 [ 6 83]]"
275,"[[ 0 71]
 [ 0 89]]"
276,"[[ 0 71]
 [ 0 89]]"
277,"[[ 0 71]
 [ 0 89]]"
278,"[[ 0 71]
 [ 0 89]]"
279,"[[ 0 71]
 [ 0 89]]"
280,"[[ 0 71]
 [ 0 89]]"
281,"[[ 0 71]
 [ 0 89]]"
282,"[[ 0 71]
 [ 0 89]]"
283,"[[ 0 71]
 [ 0 89]]"
284,"[[ 1 70]
 [ 0 89]]"
285,"[[ 0 71]
 [ 0 89]]"
286,"[[ 0 71]
 [ 0 89]]"
287,"[[ 4 67]
 [ 0 89]]"
288,"[[ 0 71]
 [ 0 89]]"
289,"[[ 0 71]
 [ 0 89]]"
290,"[[ 4 67]
 [ 0 89]]"
291,"[[ 1 70]
 [ 0 89]]"
292,"[[ 0 71]
 [ 0 89]]"
293,"[[ 0 71]
 [ 0 89]]"
294,"[[ 1 70]
 [ 0 89]]"
295,"[[ 0 71]
 [ 0 89]]"
296,"[[ 0 71]
 [ 0 89]]"
297,"[[ 0 71]
 [ 0 89]]"
298,"[[ 0 71]
 [ 0 89]]"
299,"[[ 0 71]
 [ 0 89]]"
300,"[[  0  79]
 [  0 101]]"
301,"[[  0  79]
 [  0 101]]"
302,"[[  0  79]
 [  0 101]]"
303,"[[  0  79]
 [  0 101]]"
304,"[[  1  78]
 [  0 101]]"
305,"[[  0  79]
 [  0 101]]"
306,"[[  0  79]
 [  0 101]]"
307,"[[  0  79]
 [  0 101]]"
308,"[[  0  79]
 [  0 101]]"
309,"[[  0  79]
 [  0 101]]"
310,"[[  0  79]
 [  0 101]]"
311,"[[  0  79]
 [  0 101]]"
312,"[[  0  79]
 [  0 101]]"
313,"[[  0  79]
 [  0 101]]"
314,"[[  0  79]
 [  0 101]]"
315,"[[  0  79]
 [  0 101]]"
316,"[[  0  79]
 [  0 101]]"
317,"[[  0  79]
 [  0 101]]"
318,"[[  0  79]
 [  0 101]]"
319,"[[  0  79]
 [  0 101]]"
320,"[[  3  76]
 [  0 101]]"
321,"[[  1  78]
 [  0 101]]"
322,"[[  0  79]
 [  0 101]]"
323,"[[  0  79]
 [  0 101]]"
324,"[[  1  78]
 [  0 101]]"
325,"[[  0  79]
 [  0 101]]"
326,"[[  0  79]
 [  0 101]]"
327,"[[  0  79]
 [  0 101]]"
328,"[[  0  79]
 [  0 101]]"
329,"[[  0  79]
 [  0 101]]"
330,"[[  0  87]
 [  0 113]]"
331,"[[  0  87]
 [  0 113]]"
332,"[[  0  87]
 [  0 113]]"
333,"[[  0  87]
 [  0 113]]"
334,"[[  0  87]
 [  0 113]]"
335,"[[  0  87]
 [  0 113]]"
336,"[[  0  87]
 [  0 113]]"
337,"[[  0  87]
 [  0 113]]"
338,"[[  0  87]
 [  0 113]]"
339,"[[  1  86]
 [  0 113]]"
340,"[[  0  87]
 [  0 113]]"
341,"[[  0  87]
 [  0 113]]"
342,"[[  0  87]
 [  0 113]]"
343,"[[  0  87]
 [  0 113]]"
344,"[[  0  87]
 [  0 113]]"
345,"[[  0  87]
 [  0 113]]"
346,"[[  0  87]
 [  0 113]]"
347,"[[  0  87]
 [  0 113]]"
348,"[[  0  87]
 [  0 113]]"
349,"[[  0  87]
 [  0 113]]"
350,"[[  2  85]
 [  0 113]]"
351,"[[  1  86]
 [  0 113]]"
352,"[[  0  87]
 [  0 113]]"
353,"[[  0  87]
 [  0 113]]"
354,"[[  0  87]
 [  0 113]]"
355,"[[  0  87]
 [  0 113]]"
356,"[[  0  87]
 [  0 113]]"
357,"[[  0  87]
 [  0 113]]"
358,"[[  0  87]
 [  0 113]]"
359,"[[  0  87]
 [  0 113]]"
360,"[[  0 105]
 [  0 145]]"
361,"[[  0 105]
 [  0 145]]"
362,"[[  0 105]
 [  0 145]]"
363,"[[  0 105]
 [  0 145]]"
364,"[[  0 105]
 [  0 145]]"
365,"[[  0 105]
 [  0 145]]"
366,"[[  0 105]
 [  0 145]]"
367,"[[  0 105]
 [  0 145]]"
368,"[[  0 105]
 [  0 145]]"
369,"[[  1 104]
 [  0 145]]"
370,"[[  0 105]
 [  0 145]]"
371,"[[  0 105]
 [  0 145]]"
372,"[[  0 105]
 [  0 145]]"
373,"[[  0 105]
 [  0 145]]"
374,"[[  0 105]
 [  0 145]]"
375,"[[  0 105]
 [  0 145]]"
376,"[[  0 105]
 [  0 145]]"
377,"[[  0 105]
 [  0 145]]"
378,"[[  0 105]
 [  0 145]]"
379,"[[  0 105]
 [  0 145]]"
380,"[[  0 105]
 [  0 145]]"
381,"[[  0 105]
 [  0 145]]"
382,"[[  0 105]
 [  0 145]]"
383,"[[  0 105]
 [  0 145]]"
384,"[[  0 105]
 [  0 145]]"
385,"[[  0 105]
 [  0 145]]"
386,"[[  0 105]
 [  0 145]]"
387,"[[  0 105]
 [  0 145]]"
388,"[[  0 105]
 [  0 145]]"
389,"[[  0 105]
 [  0 145]]"
390,"[[  0 132]
 [  0 168]]"
391,"[[  0 132]
 [  0 168]]"
392,"[[  0 132]
 [  0 168]]"
393,"[[  1 131]
 [  0 168]]"
394,"[[  0 132]
 [  0 168]]"
395,"[[  0 132]
 [  0 168]]"
396,"[[  0 132]
 [  0 168]]"
397,"[[  0 132]
 [  0 168]]"
398,"[[  0 132]
 [  0 168]]"
399,"[[  1 131]
 [  0 168]]"
400,"[[  0 132]
 [  0 168]]"
401,"[[  0 132]
 [  0 168]]"
402,"[[  0 132]
 [  0 168]]"
403,"[[  0 132]
 [  0 168]]"
404,"[[  0 132]
 [  0 168]]"
405,"[[  0 132]
 [  0 168]]"
406,"[[  0 132]
 [  0 168]]"
407,"[[  0 132]
 [  0 168]]"
408,"[[  0 132]
 [  0 168]]"
409,"[[  0 132]
 [  0 168]]"
410,"[[  0 132]
 [  0 168]]"
411,"[[  0 132]
 [  0 168]]"
412,"[[  0 132]
 [  0 168]]"
413,"[[  0 132]
 [  0 168]]"
414,"[[  0 132]
 [  0 168]]"
415,"[[  0 132]
 [  0 168]]"
416,"[[  0 132]
 [  0 168]]"
417,"[[  0 132]
 [  0 168]]"
418,"[[  0 132]
 [  0 168]]"
419,"[[ 18 114]
 [  8 160]]"
